,name,desc,class,link
0,Graphic Cotton Regular Fit Men's T-Shirt,The Infuse Graphic Cotton Regular  Men's t-shirt is all you need to create the perfect outfit. You can layer it with a shirt and add your favorite denim to the mix., India  Sleeveless  Regular  Graphic  Cotton  Single  Regular  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/infuse-graphic-cotton-regular-fit-men-s-t-shirt/p-A22INFMT1142/colorChange/A22INFMT1142_BLACK?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
1,Checks Cotton Slim Fit Men's Casual Shirt,., India  Cotton Collar Regular Collar Pockets Chest Pocket  Full   Slim  Checks  Pack of 1  Casual Wear  Full ,https://www.shoppersstop.com/fratini-checks-cotton-slim-fit-men-s-casual-shirt/p-SS2183FSRK3BL/colorChange/SS2183FSRK3BL_NAVY_BLUE?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
2,Solid Cotton Lycra Regular Fit Men's T-Shirt,., India  Half   Regular Neckline Polo  Solid  Cotton Lycra  Single  Casual Wear Collar Regular Collar  T-Shirts,https://www.shoppersstop.com/pepe-solid-cotton-lycra-regular-fit-men-s-t-shirt/p-A22ANTONSSIPBLA/colorChange/A22ANTONSSIPBLA_BLACK?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
3,Men's Solid Trunks - Pack of 2,SHORT TRUNK, India Waist Mid Rise  Regular  Regular  Knit  Essential Category Underwear  Trunk  Pack of 2  Cotton  Solid,https://www.shoppersstop.com/jockey-men-s-solid-trunks-pack-of-2/p-205533116/colorChange/205533116_ASSORTED?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
4,Solid Cotton Blend Regular Fit Men's T-Shirt,., India  Half   Regular Neckline Polo  Solid  Cotton Blend  Pack of 1 Collar Regular Collar,https://www.shoppersstop.com/fratini-solid-cotton-blend-regular-fit-men-s-t-shirt/p-S21831TAPP10OL/colorChange/S21831TAPP10OL_OLIVE?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
5,Printed Crepe Regular Fit Men's Casual Shirt,., Shirts  India  Crepe Collar Spread Collar  Full   Regular  Printed  Single  Casual Wear  Neckline Collared,https://www.shoppersstop.com/tistabene-printed-crepe-regular-fit-men-s-casual-shirt/p-A22MSH0962/colorChange/A22MSH0962_MULTI?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
6,Printed Cotton Regular Fit Men's Casual Shirt,., Shirts  India  Cotton Collar Spread Collar  Full   Regular  Printed  Single  Casual Wear  Neckline Collared,https://www.shoppersstop.com/tistabene-printed-cotton-regular-fit-men-s-casual-shirt/p-A22MSH1248/colorChange/A22MSH1248_BLUE?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
7,Checks Cotton Regular Fit Men's Casual Shirt,., Shirts  India  Cotton Collar Cut Away Collar  Full   Regular  Checks  Work Wear Neckline Round Neck,https://www.shoppersstop.com/allen-solly-checks-cotton-regular-fit-men-s-casual-shirt/p-A22SFQSPPT61652/colorChange/A22SFQSPPT61652_OCHRE?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
8,Solid Cotton Stretch Regular Fit Men's T-Shirt,., India  Half   Regular Neckline Round Neck  Solid  Cotton Stretch  Pack of 1  Casual Wear  Mens,https://www.shoppersstop.com/fratini-solid-cotton-stretch-regular-fit-men-s-t-shirt/p-A21VFSUPCRWOL/colorChange/A21VFSUPCRWOL_OLIVE?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
9,Solid Cotton Blend Men's T-Shirt,"Refresh your casualwear wardrobe with this smart and stylish Solid Cotton Blend Men's T-Shirt. Buy this dark red men’s t-shirt online that is designed in a solid pattern and features a polo neck along with short sleeves. This men’s t-shirt is crafted from cotton blend for all-day comfort and sports a regular fit. Club this men’s t-shirt with a well-fitted pair of jeans, voguish sneakers and classy sunglasses.", India Category T-Shirt  Regular  Solid  Cotton Blend Collar Regular Collar ,https://www.shoppersstop.com/stop-solid-cotton-blend-men-s-t-shirt/p-S21187STRPOL07A/colorChange/S21187STRPOL07A_DARK_RED?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D1&totalResultVal=24551&searchPageType=category
